@relation final_nominal_st
@attribute course {29,46,88,110,111}
@attribute n_assignment integer [0, 13]
@attribute n_assignment_s integer [0, 13]
@attribute n_posts integer [0, 10]
@attribute n_read integer [0, 7]
@attribute n_quiz integer [0, 13]
@attribute n_quiz_a integer [0, 9]
@attribute n_quiz_s integer [0, 8]
@attribute n_messages_ap {0,1,2}
@attribute nota {SUSPENSO,NOTABLE,SOBRESALIENTE,APROBADO}
@inputs course,n_assignment,n_assignment_s,n_posts,n_read,n_quiz,n_quiz_a,n_quiz_s,n_messages_ap
@outputs nota
@data
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,2,2,0,0,0,0,0,0,SUSPENSO
29,1,1,4,0,0,0,0,0,SUSPENSO
29,1,1,1,0,0,0,0,0,APROBADO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
110,11,11,0,0,12,9,3,0,SOBRESALIENTE
110,10,10,0,0,11,8,3,0,APROBADO
110,8,8,7,0,7,6,1,0,SUSPENSO
110,11,11,0,0,10,5,5,0,APROBADO
110,9,9,0,0,13,9,4,0,SOBRESALIENTE
110,8,8,1,0,13,9,4,0,NOTABLE
110,9,9,0,0,11,8,3,0,APROBADO
110,10,10,5,0,12,8,4,0,NOTABLE
110,10,10,4,0,13,9,4,0,NOTABLE
110,11,11,1,0,11,9,2,0,NOTABLE
110,10,10,1,0,13,9,4,0,NOTABLE
110,9,9,0,0,11,7,4,0,SUSPENSO
110,10,10,4,0,12,9,3,0,NOTABLE
110,10,10,2,0,13,9,4,0,NOTABLE
110,9,9,0,0,12,7,5,0,SUSPENSO
110,10,10,0,0,11,9,2,0,NOTABLE
110,11,11,2,0,12,9,3,0,NOTABLE
110,11,11,3,0,12,9,3,0,NOTABLE
110,8,8,5,0,7,3,4,0,SUSPENSO
110,9,9,2,0,12,8,4,0,NOTABLE
110,11,11,0,0,12,7,5,0,APROBADO
110,10,10,2,0,12,8,4,0,NOTABLE
110,10,10,2,0,13,8,5,0,NOTABLE
110,11,11,4,0,13,9,4,0,NOTABLE
110,9,9,0,0,12,9,3,0,NOTABLE
110,11,11,3,0,12,7,5,0,APROBADO
110,9,9,0,0,10,7,3,0,SUSPENSO
110,9,9,0,0,11,7,4,0,SUSPENSO
110,11,11,2,0,10,8,2,0,APROBADO
110,10,10,0,0,11,7,4,0,SUSPENSO
110,10,10,0,0,12,8,4,0,SUSPENSO
110,10,10,0,0,12,9,3,0,NOTABLE
110,10,10,1,0,10,9,1,0,NOTABLE
110,10,10,0,0,12,9,3,0,NOTABLE
110,11,11,0,0,11,6,5,0,APROBADO
110,11,11,2,0,13,8,5,0,NOTABLE
110,11,11,3,0,12,8,4,0,NOTABLE
110,10,10,1,0,11,8,3,0,SUSPENSO
110,10,10,0,0,12,6,6,0,NOTABLE
110,11,11,6,0,10,7,3,0,SOBRESALIENTE
110,9,9,0,0,12,7,5,0,APROBADO
110,11,11,3,0,10,4,6,0,APROBADO
110,9,9,0,0,13,8,5,0,NOTABLE
110,10,10,0,0,12,8,4,0,NOTABLE
110,10,10,0,0,6,4,2,0,SUSPENSO
110,10,10,2,0,12,8,4,0,NOTABLE
110,10,10,0,0,11,9,2,0,SOBRESALIENTE
110,9,9,2,0,11,9,2,0,NOTABLE
110,9,9,3,0,8,6,2,0,NOTABLE
110,10,10,0,0,12,9,3,0,NOTABLE
110,11,11,7,0,13,9,4,0,NOTABLE
110,10,10,0,0,11,9,2,0,NOTABLE
110,10,10,5,0,13,8,5,0,NOTABLE
110,10,10,2,0,13,9,4,0,NOTABLE
110,10,10,6,0,12,9,3,0,NOTABLE
110,9,9,0,0,11,8,3,0,APROBADO
110,11,11,0,0,13,5,8,0,SUSPENSO
110,11,11,0,0,11,6,5,0,SUSPENSO
110,9,9,2,0,13,8,5,0,APROBADO
110,10,10,1,0,13,8,5,0,NOTABLE
110,0,0,0,0,2,1,1,0,SUSPENSO
110,11,11,2,0,10,7,3,0,APROBADO
111,13,13,3,0,0,0,0,0,SUSPENSO
111,13,13,4,0,0,0,0,0,APROBADO
111,0,0,0,0,0,0,0,0,SUSPENSO
111,13,13,7,0,0,0,0,0,SOBRESALIENTE
111,13,13,6,0,0,0,0,0,NOTABLE
111,13,13,5,0,0,0,0,0,NOTABLE
111,13,13,8,0,0,0,0,0,NOTABLE
111,9,9,8,0,0,0,0,0,APROBADO
111,13,13,7,0,0,0,0,0,APROBADO
111,13,13,7,0,0,0,0,0,SUSPENSO
111,6,6,6,0,0,0,0,0,SUSPENSO
111,10,10,2,0,0,0,0,0,NOTABLE
111,13,13,4,0,0,0,0,0,SUSPENSO
46,0,0,0,0,0,0,0,0,APROBADO
46,0,0,1,0,5,5,0,0,APROBADO
46,0,0,1,0,4,4,0,0,SUSPENSO
46,0,0,1,0,5,5,0,0,SOBRESALIENTE
46,0,0,0,0,4,4,0,0,SOBRESALIENTE
46,0,0,0,0,1,1,0,0,APROBADO
46,0,0,0,0,5,2,3,2,APROBADO
46,0,0,1,0,5,5,0,0,NOTABLE
46,0,0,0,0,0,0,0,0,SUSPENSO
